Date,Allergen,Severity,Measure
2019-03-11,Mold,Medium,
2019-03-11,Oak,Medium,20
2019-03-11,Ash,Medium,60
2019-03-11,Elm,High,186
2019-03-12,Ash,Low,7
2019-03-12,Elm,Low,13
2019-03-12,Oak,Low,7
2019-03-12,Mold,Medium,
2019-03-13,Mold,Low,
2019-03-14,Oak,High,140
2019-03-14,Ash,Medium,60
2019-03-14,Elm,High,539
2019-03-14,Mold,High,
2019-03-15,Ash,Medium,20
2019-03-15,Elm,Medium,67
2019-03-15,Oak,Medium,53
2019-03-15,Mold,Medium,
2019-03-16,Oak,Medium,40
2019-03-16,Mold,Low,
2019-03-17,Mold,Medium,
2019-03-17,Ash,Low,13
2019-03-17,Oak,Low,13
2019-03-17,Elm,High,140
2019-03-18,Mold,Medium,
2019-03-19,Oak,High,226
2019-03-19,Grass,High,100
2019-03-19,,,
2019-03-19,Mold,Low,
2019-03-20,Oak,High,113
2019-03-20,Grass,High,200
2019-03-20,Hackberry,Medium,80
2019-03-20,Mold,Low,
2019-03-21,Oak,High,206
2019-03-21,Grass,High,73
2019-03-21,Hackberry,Low,7
2019-03-21,Mold,Low,
2019-03-22,Mold,Medium,
2019-03-22,Hackberry,Low,13
2019-03-22,Oak,High,426
2019-03-22,,,
2019-03-23,Oak,High,147
2019-03-23,Grass,High,67
2019-03-23,Hackberry,Low,7
2019-03-23,Mold,Low,
2019-03-24,Oak,High,519
2019-03-24,,,
2019-03-25,Oak,High,592
2019-03-25,Grass,High,86
2019-03-25,Hackberry,Medium,20
2019-03-25,Mold,Medium,
2019-03-26,Grass,High,100
2019-03-26,Mold,Low,
2019-03-26,,,
2019-03-26,,,
2019-03-27,Grass,High,33
2019-03-27,Mold,Low,
2019-03-27,Oak,High,806
2019-03-28,Grass,High,40
2019-03-28,Mold,Low,
2019-03-28,Oak,High,624
2019-03-29,Oak,High,173
2019-03-29,Grass,High,53
2019-03-29,Ash,Low,13
2019-03-29,Mold,Medium,
2019-03-30,Mold,Low,
2019-03-30,Oak,High,300
2019-03-30,Grass,High,167
2019-03-30,Hackberry,Low,7
2019-03-31,Mold,Low,
2019-03-31,Ash,Medium,53
2019-03-31,Oak,High,912
2019-03-31,Grass,High,1146
2019-04-01,Ash,Medium,20
2019-04-01,Oak,High,646
2019-04-01,Grass,High,47
2019-04-01,Mold,Low,
2019-04-02,Mold,Low,
2019-04-02,Ash,Medium,26
2019-04-02,Grass,Medium,20
2019-04-02,Oak,High,380
2019-04-03,Oak,High,353
2019-04-03,Grass,Medium,13
2019-04-03,Ash,Low,7
2019-04-03,Mold,Medium,
2019-04-04,Ash,Medium,27
2019-04-04,High,Medium,
2019-04-04,Oak,High,147
2019-04-04,Grass,High,106
2019-04-05,Oak,High,2350
2019-04-05,Grass,High,67
2019-04-05,,,
2019-04-06,Mold,Medium,
2019-04-06,Oak,High,1519
2019-04-06,Grass,High,400
2019-04-06,Ash,Medium,53
2019-04-07,Grass,Medium,13
2019-04-07,Mold,Medium,
2019-04-07,Oak,Medium,153
2019-04-08,,,
2019-04-08,Ash,Low,13
2019-04-08,Oak,Medium,33
2019-04-08,Grass,High,40
2019-04-09,Oak,High,892
2019-04-09,Grass,High,46
2019-04-09,Mold,High,
2019-04-10,Oak,High,140
2019-04-10,Grass,High,46
2019-04-10,Mold,Medium,
2019-04-11,Mold,Medium,
2019-04-11,Ash,Low,7
2019-04-11,Grass,Medium,20
2019-04-11,Oak,Medium,67
2019-04-12,Oak,High,912
2019-04-12,Grass,Medium,20
2019-04-12,Mold,Medium,
2019-04-13,Oak,High,306
2019-04-13,Mold,Low,
2019-04-13,Grass,High,153
2019-04-14,Mold,Medium,
2019-04-14,Oak,High,233
2019-04-14,Grass,High,53
2019-04-15,Oak,Medium,27
2019-04-15,Grass,Medium,13
2019-04-15,Mold,Medium,
2019-04-16,Oak,Low,13
2019-04-16,Grass,Low,7
2019-04-16,Mold,Medium,
2019-04-17,Oak,High,100
2019-04-17,Grass,Medium,20
2019-04-17,Mold,Medium,
2019-04-18,,,
2019-04-18,Oak,Medium,60
2019-04-19,Grass,High,47
2019-04-19,Mold,Medium,
2019-04-19,Oak,High,93
2019-04-20,Grass,Medium,20
2019-04-20,Mold,Medium,
2019-04-20,Oak,Medium,67
2019-04-21,Mold,Medium,
2019-04-21,Grass,Low,7
2019-04-21,Pecan,Medium,20
2019-04-21,Oak,Medium,80
2019-04-22,Oak,Medium,53
2019-04-22,Grass,Medium,13
2019-04-22,Mold,Medium,
2019-04-23,Oak,Medium,33
2019-04-23,Grass,High,27
2019-04-23,Mold,Medium,
2019-04-24,Mold,Low,
2019-04-25,Oak,Medium,47
2019-04-25,Grass,Medium,13
2019-04-25,Mold,Low,
2019-04-26,Oak,Medium,53
2019-04-26,Grass,Medium,13
2019-04-26,Mold,Medium,
2019-04-27,Pecan,Medium,87
2019-04-27,Mold,Medium,
2019-04-27,Oak,Medium,40
2019-04-27,Grass,High,80
2019-04-28,Pecan,Medium,27
2019-04-28,Mold,Low,
2019-04-29,Oak,Low,13
2019-04-29,Grass,High,67
2019-04-29,Pecan,Medium,53
2019-04-29,Mold,Low,
2019-04-30,Grass,High,33
2019-04-30,Mold,Low,
2019-04-30,Pecan,Low,13
2019-05-01,Pecan,Low,13
2019-05-01,Grass,Medium,13
2019-05-01,Mold,Low,
2019-05-02,Mold,Low,
2019-05-03,Mold,Low,
2019-05-04,Mold,Low,
2019-05-05,Grass,Medium,20
2019-05-05,Oak,Low,13
2019-05-05,Pecan,Medium,27
2019-05-05,Mold,Low,
2019-05-06,,,
2019-05-07,Grass,Medium,13
2019-05-07,Mold,Medium,
2019-05-08,Mold,Medium,
2019-05-09,Pecan,Low,13
2019-05-09,Mold,Medium,
2019-05-10,Pecan,Low,7
2019-05-10,,,
2019-05-10,,,
2019-05-11,Mold,Medium,
2019-05-11,Grass,Medium,20
2019-05-11,Pecan,Medium,73
2019-05-12,Mold,Low,
2019-05-13,Pecan,Low,13
2019-05-13,Grass,Low,7
2019-05-13,Mold,Medium,
2019-05-14,Pecan,Low,7
2019-05-14,Grass,High,33
2019-05-14,Mold,Medium,
2019-05-15,Mold,Medium,
2019-05-15,Grass,High,33
2019-05-15,Pecan,Low,7
2019-05-16,Grass,High,27
2019-05-16,Mold,Low,
2019-05-17,Grass,High,33
2019-05-17,Mold,Low,
2019-05-18,Mold,Low,
2019-05-19,Mold,Low,
2019-05-20,Grass,Medium,13
2019-05-20,Mold,Low,
2019-05-21,Mold,Medium,
2019-05-21,Grass,High,27
2019-05-22,Grass,High,40
2019-05-22,Mold,Low,
2019-05-23,Grass,Medium,20
2019-05-23,Mold,Low,
2019-05-24,Grass,Medium,13
2019-05-24,Mold,Medium,
2019-05-25,Mold,Low,
2019-05-26,Mold,Low,
2019-05-27,Mold,Low,
2019-05-28,Grass,Low,7
2019-05-28,Mold,Low,
2019-05-29,Grass,Medium,13
2019-05-29,Mold,Low,
2019-05-30,Grass,Medium,20
2019-05-30,Mold,Low,
2019-05-31,Mold,Medium,
2019-06-01,Grass,Medium,20
2019-06-01,Mold,Medium,
2019-06-02,Mold,Medium,
2019-06-03,Grass,Medium,13
2019-06-03,Mold,Medium,
2019-06-04,Grass,High,27
2019-06-04,Mold,Medium,
2019-06-05,Grass,Medium,20
2019-06-05,Mold,Medium,
2019-06-06,Grass,Low,7
2019-06-06,Mold,Medium,
2019-06-07,Mold,Medium,
2019-06-08,Mold,Medium,
2019-06-09,Grass,Medium,20
2019-06-09,Mold,Medium,
2019-06-11,Grass,Low,7
2019-06-11,Mold,Medium,
2019-06-12,Grass,Low,7
2019-06-12,Mold,Medium,
2019-06-13,Grass,High,27
2019-06-13,Mold,Medium,
2019-06-14,Mold,Medium,
2019-06-14,Grass,High,33
2019-06-15,Grass,High,27
2019-06-15,Mold,Medium,
2019-06-16,Grass,Low,7
2019-06-16,Mold,High,
2019-06-17,Mold,Low,
2019-06-18,Grass,Low,7
2019-06-18,Mold,Low,
2019-06-19,Grass,Low,7
2019-06-19,Mold,Low,
2019-06-20,Mold,Low,
2019-06-21,Grass,Medium,13
2019-06-21,Mold,Medium,
2019-06-22,Grass,7,Low
2019-06-22,Mold,High,
2019-06-23,Mold,High,
2019-06-24,Mold,High,
2019-06-27,Mold,High,
2019-06-28,Mold,High,
2019-06-29,Mold,High,
2019-06-30,Mold,High,
2019-07-01,Mold,High,
2019-07-02,Grass,Low,7
2019-07-02,Mold,High,
2019-07-03,Grass,Medium,13
2019-07-03,Mold,Medium,
2019-07-04,Grass,Low,7
2019-07-04,Mold,High,
2019-07-05,Grass,Medium,13
2019-07-05,Mold,High,
2019-07-06,Mold,Medium,
2019-07-06,Grass,Low,7
2019-07-07,Grass,Low,7
2019-07-07,Mold,Medium,
2019-07-08,Grass,Medium,14
2019-07-08,Mold,High,
2019-07-09,Grass,Medium,13
2019-07-09,Mold,Medium,
2019-07-10,Grass,Low,7
2019-07-10,Mold,High,
2019-07-11,Mold,Medium,
2019-07-11,Grass,High,27
2019-07-12,Grass,Medium,13
2019-07-12,Mold,High,
2019-07-14,Grass,Medium,13
2019-07-14,Mold,High,
2019-07-15,Grass,Medium,13
2019-07-15,Mold,Medium,
2019-07-16,Grass,Medium,20
2019-07-16,Mold,Medium,
2019-07-17,Mold,Medium,
2019-07-17,Grass,Low,7
2019-07-18,Mold,Medium,
2019-07-19,Mold,Medium,
2019-07-20,Mold,High,
2019-07-21,Mold,Medium,
2019-07-22,Mold,Medium,
2019-07-23,Grass,Medium,20
2019-07-23,Mold,Medium,
2019-07-24,Mold,Medium,
2019-07-24,Grass,Medium,13
2019-07-25,Grass,Medium,20
2019-07-25,Mold,Medium,
2019-07-26,Grass,Low,7
2019-07-26,Mold,High,
2019-07-27,Mold,Medium,
2019-07-28,Grass,Low,7
2019-07-28,Mold,Medium,
2019-07-29,Grass,Low,7
2019-07-29,Mold,High,
2019-07-30,No,data,
2019-07-31,No,data,
2019-08-01,Molds,High,
2019-08-02,Molds,Medium,
2019-08-03,Grass,Medium,20
2019-08-03,Mold,High,
2019-08-04,Mold,High,
2019-08-05,Mold,High,
2019-08-06,Mold,High,
2019-08-07,Mold,Medium,
2019-08-08,Mold,Medium,
2019-08-09,Grass,Low,7
2019-08-09,Mold,Medium,
2019-08-10,Grass,Low,7
2019-08-10,Mold,Medium,
2019-08-11,Mold,Medium,
2019-08-12,Grass,Low,7
2019-08-12,Mold,Medium,
2019-08-13,Grass,Low,7
2019-08-13,Mold,Medium,
2019-08-14,Mold,Medium,
2019-08-14,Grass,Low,7
2019-08-15,Mold,Medium,
2019-08-16,Grass,Low,7
2019-08-16,Mold,High,
2019-08-17,Grass,Medium,13
2019-08-17,Mold,High,
2019-08-18,Mold,Medium,
2019-08-19,Mold,Medium,
2019-08-20,Mold,Medium,
2019-08-21,Mold,Medium,
2019-08-22,Grass,Low,7
2019-08-22,Mold,High,
2019-08-23,Mold,High,
2019-08-24,Mold,Medium,
2019-08-25,Mold,Medium,
2019-08-26,Molds,Medium,
2019-08-27,Mold,High,
2019-08-28,Mold,High,
2019-08-29,Mold,Medium,
2019-08-29,Grass,Medium,13
2019-08-30,Grass,Low,7
2019-08-30,Mold,Medium,
2019-08-31,Mold,Medium,
2019-09-01,Mold,Medium,
2019-09-02,Mold,Medium,
2019-09-03,Molds,High,
2019-09-04,Mold,Medium,
2019-09-05,Grass,Medium,20
2019-09-05,Mold,Medium,
2019-09-05,Elm,Low,7
2019-09-06,Mold,Medium,
2019-09-07,Mold,Medium,
2019-09-08,Grass,Medium,13
2019-09-08,Mold,Medium,
2019-09-09,Ragweed,medium,13
2019-09-09,Mold,Medium,
2019-09-10,Mold,Medium,
2019-09-10,Ragweed,Low,7
2019-09-11,Mold,Medium,
2019-09-11,Ragweed,Low,7
2019-09-12,Ragweed,Medium,27
2019-09-12,Mold,Medium,
2019-09-13,Ragweed,Medium,20
2019-09-13,Mold,Medium,
2019-09-14,Ragweed,Medium,20
2019-09-14,Mold,Low,
2019-09-15,Ragweed,Medium,13
2019-09-15,Molds,High,
2019-09-16,Ragweed,High,53
2019-09-16,Molds,High,
2019-09-17,Ragweed,Low,7
2019-09-17,Mold,High,
2019-09-18,Ragweed,High,127
2019-09-18,Mold,High,
2019-09-19,Ragweed,High,106
2019-09-19,Mold,High,
2019-09-20,Mold,High,
2019-09-20,Ragweed,High,133
2019-09-21,Ragweed,High,60
2019-09-21,Mold,High,
2019-09-23,Ragweed,Medium,47
2019-09-23,Mold,High,
2019-09-23,Elm,Low,13
2019-09-24,Ragweed,High,133
2019-09-24,Mold,High,
2019-09-24,Elm,Med,20
2019-09-25,Ragweed,High,80
2019-09-25,Mold,High,
2019-09-25,Elm,Med,20
2019-09-26,Ragweed,High,107
2019-09-26,Mold,High,
2019-09-26,Elm,Med,20
2019-09-27,Mold,High,
2019-09-27,Elm,Med,27
2019-09-27,Ragweed,High,117
2019-09-28,Mold,High,
2019-09-28,Elm,Medium,20
2019-09-28,Ragweed,High,66
2019-09-29,Ragweed,High,60
2019-09-29,Elm,Low,13
2019-09-29,Mold,High,
2019-09-30,Ragweed,High,67
2019-09-30,Elm,Low,13
2019-09-30,Mold,High,
2019-10-01,Mold,High,
2019-10-01,Elm,Low,13
2019-10-01,Ragweed,High,54
2019-10-02,Ragweed,High,153
2019-10-02,Elm,Med,54
2019-10-02,Mold,High,
2019-10-03,Ragweed,High,200
2019-10-03,Elm,Med,27
2019-10-03,Mold,High,
2019-10-04,Elm,Med,33
2019-10-04,Mold,High,
2019-10-04,Ragweed,High,153
2019-10-05,Ragweed,High,127
2019-10-05,Elm,Med,40
2019-10-05,Mold,High,
2019-10-06,Ragweed,High,133
2019-10-06,Elm,Med,27
2019-10-06,Mold,High,
2019-10-07,Mold,High,
2019-10-07,Ragweed,High,147
2019-10-07,Elm,Med,40
2019-10-08,Ragweed,High,186
2019-10-08,Elm,Med,27
2019-10-08,Mold,High,
2019-10-09,Ragweed,High,206
2019-10-09,Elm,Med,33
2019-10-09,Mold,High,
2019-10-10,Elm,Med,47
2019-10-10,Ragweed,High,147
2019-10-10,Mold,High,
2019-10-11,Elm,Med,33
2019-10-11,Ragweed,High,100
2019-10-11,Mold,High,
2019-10-12,Elm,Med,27
2019-10-12,Ragweed,Medium,80
2019-10-12,Mold,High,
