MonthYear,Day,Allergens
August 2019,3,"Grass Medium 20 gr/m3, Mold High."
August 2019,4,Mold High with Alternaria
August 2019,5,Mold High with Alternaria
August 2019,6,Mold High.
August 2019,7,Mold Medium with Alternaria
August 2019,8,Mold Medium with Alternaria
August 2019,9,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
August 2019,10,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
August 2019,11,Mold Medium with Alternaria
August 2019,12,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
August 2019,13,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
August 2019,14,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
August 2019,15,Mold Medium.
August 2019,16,"Grass Low 7 gr/m3, Mold High"
August 2019,17,"Grass Medium 13 gr/m3, Mold High with Alternaria."
August 2019,18,Mold Medium with Alternaria.
August 2019,19,Mold Medium with Alternaria
August 2019,20,Mold Medium with Alternaria
August 2019,21,Mold Medium with Alternaria
August 2019,22,"Grass Low 7 gr/m3, Mold High with Alternaria"
August 2019,23,Mold High.
August 2019,24,Mold Medium with Alternaria.
August 2019,25,Mold Medium.
August 2019,26,Molds Medium with Alternaria
August 2019,27,Mold High with Alternaria
August 2019,28,Mold High with Alternaria.
August 2019,29,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
August 2019,30,"Grass Low 7 gr/m3, Mold Medium"
August 2019,31,Mold Medium with Alternaria.
October 2019,1,"Ragweed High 54 gr/m3, Fall Elm Low 13 gr/m3, Mold High with Alternaria"
October 2019,2,"Ragweed High 153 gr/m3, Fall Elm Med 54 gr/m3, Mold High with Alternaria"
October 2019,3,"Ragweed High 200 gr/m3, Fall Elm Med 27 gr/m3, Mold High with Alternaria"
October 2019,4,"Ragweed High 153 gr/m3, Fall Elm Med 33 gr/m3, Mold High with Alternaria"
October 2019,5,"Ragweed High 127 gr/m3, Fall Elm Med 40 gr/m3, Mold High with Alternaria."
October 2019,6,"Ragweed High 133 gr/m3, Fall Elm Med 27 gr/m3, Mold High with Alternaria"
October 2019,7,"Ragweed High 147 gr/m3, Fall Elm Med 40 gr/m3, Mold High with Alternaria."
October 2019,8,"Ragweed High 186 gr/m3, Fall Elm Med 27 gr/m3, Mold High with Alternaria."
October 2019,9,"Ragweed High 206 gr/m3, Fall Elm Med 33 gr/m3, Mold High with Alternaria."
October 2019,10,"Ragweed High 147 gr/m3, Fall Elm Med 47 gr/m3, Mold High with Alternaria."
October 2019,11,"Ragweed High 100 gr/m3, Fall Elm Med 33 gr/m3, Mold High with Alternaria."
October 2019,12,"Ragweed Medium 80 gr/m3, Fall Elm Med 27 gr/m3, Mold High."
October 2019,13,
October 2019,14,
October 2019,15,
October 2019,16,
October 2019,17,
October 2019,18,
October 2019,19,
October 2019,20,
October 2019,21,
October 2019,22,
October 2019,23,
October 2019,24,
October 2019,25,
October 2019,26,
October 2019,27,
October 2019,28,
October 2019,29,
October 2019,30,
October 2019,31,
July 2019,1,Mold High.
July 2019,2,"Grass Low 7 gr/m3, Mold High with Alternaria"
July 2019,3,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
July 2019,4,"Grass Low 7 gr/m3, Mold High with Alternaria"
July 2019,5,"Grass Medium 13 gr/m3, Mold High with Alternaria"
July 2019,6,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
July 2019,7,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
July 2019,8,"Grass Medium 14 gr/m3, Mold High with Alternaria"
July 2019,9,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
July 2019,10,"Grass Low 7 gr/m3, Mold High with Alternaria"
July 2019,11,"Grass High 27 gr/m3, Mold Medium with Alternaria."
July 2019,12,"Grass Medium 13 gr/m3, Mold High with Alternaria"
July 2019,13,
July 2019,14,"Grass Medium 13 gr/m3, Mold High with Alternaria"
July 2019,15,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
July 2019,16,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
July 2019,17,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
July 2019,18,Mold Medium.
July 2019,19,Mold Medium.
July 2019,20,Mold High.
July 2019,21,Mold Medium.
July 2019,22,Mold Medium
July 2019,23,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
July 2019,24,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
July 2019,25,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
July 2019,26,"Grass Low 7 gr/m3, Mold High."
July 2019,27,Mold Medium.
July 2019,28,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
July 2019,29,"Grass Low 7 gr/m3, Mold High"
July 2019,30,No data
July 2019,31,No data
January 2019,1,"Cedar Medium 346 gr/m3, Mold Medium"
January 2019,2,Mold Low.
January 2019,3,Mold Low.
January 2019,4,Mold Low.
January 2019,5,"Cedar Low 20 gr/m3, Mold Medium"
January 2019,6,"Cedar Low 20 gr/m3, Mold Medium"
January 2019,7,"Cedar Low 27 gr/m3, Mold Medium."
January 2019,8,"Cedar Low 486 gr/m3, Mold High."
January 2019,9,"Cedar High 1232 gr/m3, Mold Medium."
January 2019,10,"Cedar Low 60 gr/m3, Mold Medium."
January 2019,11,"Cedar Low 67 gr/m3, Mold Medium."
January 2019,12,Mold High.
January 2019,13,"Cedar Medium 326 gr/m3, Mold High."
January 2019,14,"Cedar Medium 160 gr/m3, Mold Low."
January 2019,15,"Cedar Medium 100 gr/m3, Mold Low"
January 2019,16,"Cedar Low 13 gr/m3, Mold Moderate with Alternaria."
January 2019,17,"Cedar Low 7 gr/m3, Mold Moderate."
January 2019,18,"Cedar Low 40 gr/m3, Mold Low."
January 2019,19,"Cedar Low 87 gr/m3, Mold Low"
January 2019,20,"Cedar High 638 gr/m3, Mold Low"
January 2019,21,"Cedar Low 20 gr/m3, Mold High with Alternaria."
January 2019,22,"Cedar Medium 126 gr/m3, Mold High with Alternaria."
January 2019,23,"Cedar Medium 146 gr/m3, Mold Low."
January 2019,24,"Cedar Low 20 gr/m3, Mold Medium."
January 2019,25,"Cedar Low 220 gr/m3, Mold High with Alternaria."
January 2019,26,"Cedar Low 20 gr/m3, Mold High"
January 2019,27,"Cedar Low 13 gr/m3, Mold Medium."
January 2019,28,"Cedar Low 27 gr/m3, Mold High with Alternaria."
January 2019,29,"Cedar Low 73 gr/m3, Mold Medium."
January 2019,30,"Elm Medium 86 gr/m3, Cedar Low 27 gr/m3, Mold High."
January 2019,31,"Elm Medium 53 gr/m3, Cedar Low 53 gr/m3, Mold High with Alternaria."
June 2019,1,"Grass Medium 20 gr/m3, Mold Medium"
June 2019,2,Mold Medium with Alternaria.
June 2019,3,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
June 2019,4,"Grass High 27 gr/m3, Mold Medium with Alternaria"
June 2019,5,"Grass Medium 20 gr/m3, Mold Medium with Alternaria."
June 2019,6,"Grass Low 7 gr/m3, Mold Medium"
June 2019,7,Mold Medium.
June 2019,8,Mold Medium.
June 2019,9,"Grass Medium 20 gr/m3, Mold Medium with Alternaria."
June 2019,10,
June 2019,11,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
June 2019,12,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
June 2019,13,"Grass High 27 gr/m3, Mold Medium with Alternaria"
June 2019,14,"Grass High 33 gr/m3, Mold Medium with Alternaria"
June 2019,15,"Grass High 27 gr/m3, Mold Medium with Alternaria"
June 2019,16,"Grass Low 7 gr/m3, Mold High with Alternaria"
June 2019,17,Mold Low.
June 2019,18,"Grass Low 7 gr/m3, Mold Low"
June 2019,19,"Grass Low 7 gr/m3, Mold Low"
June 2019,20,Mold Low.
June 2019,21,"Grass Medium 13 gr/m3, Mold Medium."
June 2019,22,"Grass 7 Low gr/m3, Mold High."
June 2019,23,Mold High.
June 2019,24,Mold High.
June 2019,25,
June 2019,26,
June 2019,27,Mold High.
June 2019,28,Mold High.
June 2019,29,Mold High.
June 2019,30,Mold High.
May 2019,1,"Pecan Low 13 gr/m3, Grass Medium 13 gr/m3, Mold Low"
May 2019,2,Mold Low
May 2019,3,Mold Low
May 2019,4,Mold Low
May 2019,5,"Oak Low 13 gr/m3, Pecan Medium 27 gr/m3, Grass Medium 20 gr/m3, Mold Low"
May 2019,6,Molds High with Alternaria Mold High with Alternaria
May 2019,7,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
May 2019,8,Mold Medium with Alternaria
May 2019,9,"Pecan Low 13 gr/m3, Mold Medium with Alternaria."
May 2019,10,"Pecan Low 7 gr/m3, Mold Low. This allergy forecast was updated on Friday May 10, 2019."
May 2019,11,"Pecan Medium 73 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria."
May 2019,12,Mold Low. Mold Low.
May 2019,13,"Pecan Low 13 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria"
May 2019,14,"Pecan Low 7 gr/m3, Grass High 33 gr/m3, Mold Medium with Alternaria."
May 2019,15,"Pecan Low 7 gr/m3, Grass High 33 gr/m3, Mold Medium with Alternaria."
May 2019,16,"Grass High 27 gr/m3, Mold Low"
May 2019,17,"Grass High 33 gr/m3, Mold Low"
May 2019,18,Mold Low.
May 2019,19,Mold Low.
May 2019,20,"Grass Medium 13 gr/m3, Mold Low."
May 2019,21,"Grass High 27 gr/m3, Mold Medium with Alternaria."
May 2019,22,"Grass High 40 gr/m3, Mold Low."
May 2019,23,"Grass Medium 20 gr/m3, Mold Low."
May 2019,24,"Grass Medium 13 gr/m3, Mold Medium"
May 2019,25,Mold Low.
May 2019,26,Mold Low.
May 2019,27,Mold Low.
May 2019,28,"Grass Low 7 gr/m3, Mold Low."
May 2019,29,"Grass Medium 13 gr/m3, Mold Low"
May 2019,30,"Grass Medium 20 gr/m3, Mold Low"
May 2019,31,Mold Medium with Alternaria.
March 2019,1,"Oak Medium 80 gr/m3, Mold Medium."
March 2019,2,"Ash Medium 47 gr/m3, Oak Medium 27 gr/m3, Elm Medium 20 gr/m3, Mold Medium"
March 2019,3,"Oak Medium 60 gr/m3, Elm High 107 gr/m3, Mold Low"
March 2019,4,Mold Low.
March 2019,5,"Oak Medium 27 gr/m3, Elm Low 13 gr/m3, Ash Low 13 gr/m3, Mold Low."
March 2019,6,Mold Low.
March 2019,7,"Oak Medium 27 gr/m3, Elm Medium 53 gr/m3, Ash Medium 27 gr/m3, Mold Medium with Alternaria."
March 2019,8,"Oak Medium 20 gr/m3, Elm Medium 60 gr/m3, Ash Low 7 gr/m3, Mold Medium with Alternaria"
March 2019,9,"Elm High 93 gr/m3, Ash Medium 33 gr/m3, Mold High"
March 2019,10,Mold Medium.
March 2019,11,"Ash Medium 60 gr/m3, Elm High 186 gr/m3, Oak Medium 20 gr/m3, and Mold Medium"
March 2019,12,"Ash Low 7 gr/m3, Elm Low 13 gr/m3, Oak Low 7 gr/m3, Mold Medium"
March 2019,13,Mold Low
March 2019,14,"Ash Medium 60 gr/m3, Elm High 539 gr/m3, Oak High 140 gr/m3, Mold High with Alternaria"
March 2019,15,"Ash Medium 20 gr/m3, Elm Medium 67 gr/m3, Oak Medium 53 gr/m3, Mold Medium"
March 2019,16,"Oak Medium 40 gr/m3, Mold Low"
March 2019,17,"Oak Low 13 gr/m3, Elm High 140 gr/m3, Ash Low 13 gr/m3, Mold Medium"
March 2019,18,Mold Medium.
March 2019,19,"Oak High 226 gr/m3, Grass High 100 gr/m3, Hackberry 127 gr/m3, Mold Low."
March 2019,20,"Oak High 113 gr/m3, Grass High 200 gr/m3, Hackberry Medium 80 gr/m3, Mold Low."
March 2019,21,"Oak High 206 gr/m3, Grass High 73 gr/m3, Hackberry Low 7 gr/m3, Mold Low."
March 2019,22,"Oak High 426 gr/m3, Grass High  113 gr/m3, Hackberry Low 13 gr/m3, Mold Medium."
March 2019,23,"Oak High 147 gr/m3, Grass High 67 gr/m3, Hackberry Low 7 gr/m3, Mold Low"
March 2019,24,"Oak High 519 gr/m3, Grass"
March 2019,25,"Oak High 592 gr/m3, Grass High 86 gr/m3, Hackberry Medium 20 gr/m3, Mold Medium."
March 2019,26,"Oak High 1,212 gr/m3, Grass High 100 gr/m3, Mold Low."
March 2019,27,"Oak High 806 gr/m3, Grass High 33 gr/m3, Mold Low."
March 2019,28,"Oak High 624 gr/m3, Grass High 40 gr/m3, Mold Low."
March 2019,29,"Oak High 173 gr/m3, Grass High 53 gr/m3, Ash Low 13 gr/m3, Mold Medium."
March 2019,30,"Oak High 300 gr/m3, Grass High 167 gr/m3, Hackberry Low 7 gr/m3, Mold Low."
March 2019,31,"Oak High 912 gr/m3, Grass High 1146 gr/m3, Ash Medium 53 gr/m3, Mold Low"
February 2019,1,"Elm Low 13 gr/m3, Cedar Low 27 gr/m3, Mold High with Alternaria."
February 2019,2,"Elm High 279 gr/m3, Cedar Medium 147 gr/m3, Mold High."
February 2019,3,"Elm Low 70 gr/m3, Mold High"
February 2019,4,"Elm Low 13 gr/m3, Cedar Low 7 gr/m3, Mold High with Alternaria."
February 2019,5,"Elm High 93 gr/m3, Ash Low 13 gr/m3, Cedar Low 7 gr/m3, Mold High with Alternaria."
February 2019,6,"Elm Moderate 66 gr/m3, Ash Low 47 gr/m3, Cedar Low 27 gr/m3, Mold High with Alternaria."
February 2019,7,"Elm High 506 gr/m3, Ash High 113 gr/m3, Cedar Low 40 gr/m3, Mold High with Alternaria."
February 2019,8,"Elm High 346 gr/m3, Ash High 113 gr/m3, Mold Medium with Alternaria."
February 2019,9,"Elm High 219 gr/m3, Ash High 93 gr/m3, Mold Medium."
February 2019,10,"Elm Low 27 gr/m3, Ash Low 53 gr/m3, Mold Medium."
February 2019,11,"Elm Low 13 gr/m3, Ash Low 20 gr/m3, Mold Medium."
February 2019,12,"Elm Medium 33 gr/m3, Ash Medium 40 gr/m3, Mold Medium with Alternaria."
February 2019,13,"Elm Medium 20 gr/m3, Ash Medium 27 gr/m3, Mold Medium with Alternaria."
February 2019,14,"Elm High 93 gr/m3, Ash Medium 46 gr/m3, Mold Low."
February 2019,15,"Elm High 200 gr/m3, Ash High 113 gr/m3, Mold High with Alternaria."
February 2019,16,"Elm High 3383 gr/m3, Ash High 3290 gr/m3, Mold Medium"
February 2019,17,"Elm High 160 gr/m3, Ash High 313 gr/m3, Mold Low"
February 2019,18,"Oak High 133 gr/m3, Elm High 126 gr/m3, Ash High 119 gr/m3, Mold Low."
February 2019,19,"Oak High 153 gr/m3, Elm High 126 gr/m3, Ash High 106 gr/m3, Mold Medium."
February 2019,20,Mold Low.
February 2019,21,"Oak Medium 20 gr/m3, Elm High 153 gr/m3, Ash Medium 40 gr/m3, Mold Medium with Alternaria."
February 2019,22,"Elm Medium 40 gr/m3, Ash High 93 gr/m3, Mold Medium."
February 2019,23,"Oak Low 7 gr/m3, Elm High 93 gr/m3, Ash High 113 gr/m3, Mold Low"
February 2019,24,"Oak Medium 87 gr/m3, Elm High 226 gr/m3, Mold Medium"
February 2019,25,"Oak High 266 gr/m3, Ash High 93 gr/m3, Elm Medium 40 gr/m3, Mold Medium."
February 2019,26,"Ash Medium 27 gr/m3, Elm Low 13 gr/m3, Mold High with Alternaria."
February 2019,27,"Oak Low 13 gr/m3, Ash Medium 20 gr/m3, Elm High 100 gr/m3, Mold High with Alternaria."
February 2019,28,"Ash High 120 gr/m3, Oak Medium 53 gr/m3, Elm Medium 53 gr/m3, Mold High"
