Date,Allergens
2019-03-05,"Oak Medium 27 gr/m3, Elm Low 13 gr/m3, Ash Low 13 gr/m3, Mold Low."
2019-03-06,Mold Low.
2019-03-07,"Oak Medium 27 gr/m3, Elm Medium 53 gr/m3, Ash Medium 27 gr/m3, Mold Medium with Alternaria."
2019-03-08,"Oak Medium 20 gr/m3, Elm Medium 60 gr/m3, Ash Low 7 gr/m3, Mold Medium with Alternaria"
2019-03-09,"Elm High 93 gr/m3, Ash Medium 33 gr/m3, Mold High"
2019-03-10,Mold Medium.
2019-03-11,"Ash Medium 60 gr/m3, Elm High 186 gr/m3, Oak Medium 20 gr/m3,Mold Medium"
2019-03-12,"Ash Low 7 gr/m3, Elm Low 13 gr/m3, Oak Low 7 gr/m3, Mold Medium"
2019-03-13,Mold Low
2019-03-14,"Ash Medium 60 gr/m3, Elm High 539 gr/m3, Oak High 140 gr/m3, Mold High with Alternaria"
2019-03-15,"Ash Medium 20 gr/m3, Elm Medium 67 gr/m3, Oak Medium 53 gr/m3, Mold Medium"
2019-03-16,"Oak Medium 40 gr/m3, Mold Low"
2019-03-17,"Oak Low 13 gr/m3, Elm High 140 gr/m3, Ash Low 13 gr/m3, Mold Medium"
2019-03-18,Mold Medium.
2019-03-19,"Oak High 226 gr/m3, Grass High 100 gr/m3, Hackberry 127 gr/m3, Mold Low."
2019-03-20,"Oak High 113 gr/m3, Grass High 200 gr/m3, Hackberry Medium 80 gr/m3, Mold Low."
2019-03-21,"Oak High 206 gr/m3, Grass High 73 gr/m3, Hackberry Low 7 gr/m3, Mold Low."
2019-03-22,"Oak High 426 gr/m3, Grass High  113 gr/m3, Hackberry Low 13 gr/m3, Mold Medium."
2019-03-23,"Oak High 147 gr/m3, Grass High 67 gr/m3, Hackberry Low 7 gr/m3, Mold Low"
2019-03-24,"Oak High 519 gr/m3, Grass"
2019-03-25,"Oak High 592 gr/m3, Grass High 86 gr/m3, Hackberry Medium 20 gr/m3, Mold Medium."
2019-03-26,"Oak High 1,212 gr/m3, Grass High 100 gr/m3, Mold Low."
2019-03-27,"Oak High 806 gr/m3, Grass High 33 gr/m3, Mold Low."
2019-03-28,"Oak High 624 gr/m3, Grass High 40 gr/m3, Mold Low."
2019-03-29,"Oak High 173 gr/m3, Grass High 53 gr/m3, Ash Low 13 gr/m3, Mold Medium."
2019-03-30,"Oak High 300 gr/m3, Grass High 167 gr/m3, Hackberry Low 7 gr/m3, Mold Low."
2019-03-31,"Oak High 912 gr/m3, Grass High 1146 gr/m3, Ash Medium 53 gr/m3, Mold Low"
2019-04-01,"Oak High 646 gr/m3, Grass High 47 gr/m3, Ash Medium 20 gr/m3, Mold Low."
2019-04-02,"Oak High 380 gr/m3, Grass Medium 20 gr/m3, Ash Medium 26 gr/m3, Mold Low."
2019-04-03,"Oak High 353 gr/m3, Grass Medium 13 gr/m3, Ash Low 7 gr/m3, Mold Medium."
2019-04-04,"Oak High 147 gr/m3, Grass High 106 gr/m3, Ash Medium 27 gr/m3, High Medium."
2019-04-05,"Oak High 2350 gr/m3, Grass High 67 gr/m3, Ash Medium 27"
2019-04-06,"Oak High 1519 gr/m3, Grass High 400 gr/m3, Ash Medium 53 gr/m3, Mold Medium with Alternaria"
2019-04-07,"Oak Medium 153 gr/m3, Grass Medium 13 gr/m3, Mold Medium."
2019-04-08,"Oak Medium 33 gr/m3, Grass High 40 gr/m3, Ash Low 13 gr/m3,"
2019-04-09,"Oak High 892 gr/m3, Grass High 46 gr/m3, Mold High with Alternaria."
2019-04-10,"Oak High 140 gr/m3, Grass High 46 gr/m3, Mold Medium with Alternaria."
2019-04-11,"Oak Medium 67 gr/m3, Grass Medium 20 gr/m3, Ash Low 7 gr/m3, Mold Medium with Alternaria."
2019-04-12,"Oak High 912 gr/m3, Grass Medium 20 gr/m3, Mold Medium."
2019-04-13,"Oak High 306 gr/m3, Grass High 153 gr/m3, Mold Low."
2019-04-14,"Oak High 233 gr/m3, Grass High 53 gr/m3, Mold Medium"
2019-04-15,"Oak Medium 27 gr/m3, Grass Medium 13 gr/m3, Mold Medium."
2019-04-16,"Oak Low 13 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria."
2019-04-17,"Oak High 100 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria."
2019-04-18,"Oak Medium 60 gr/m3,"
2019-04-19,"Oak High 93 gr/m3, Grass High 47 gr/m3, Mold Medium"
2019-04-20,"Oak Medium 67 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria"
2019-04-21,"Oak Medium 80 gr/m3, Pecan Medium 20 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-04-22,"Oak Medium 53 gr/m3, Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-04-23,"Oak Medium 33 gr/m3, Grass High 27 gr/m3, Mold Medium"
2019-04-24,Mold Low
2019-04-25,"Oak Medium 47 gr/m3, Grass Medium 13 gr/m3, Mold Low"
2019-04-26,"Oak Medium 53 gr/m3, Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-04-27,"Oak Medium 40 gr/m3, Grass High 80 gr/m3, Pecan Medium 87 gr/m3, Mold Medium with Alternaria"
2019-04-28,"Pecan Medium 27 gr/m3, Mold Low"
2019-04-29,"Oak Low 13 gr/m3, Grass High 67 gr/m3, Pecan Medium 53 gr/m3, Mold Low."
2019-04-30,"Pecan Low 13 gr/m3, Grass High 33 gr/m3, Mold Low"
2019-05-01,"Pecan Low 13 gr/m3, Grass Medium 13 gr/m3, Mold Low"
2019-05-02,Mold Low
2019-05-03,Mold Low
2019-05-04,Mold Low
2019-05-05,"Oak Low 13 gr/m3, Pecan Medium 27 gr/m3, Grass Medium 20 gr/m3, Mold Low"
2019-05-06,Molds High with Alternaria Mold High with Alternaria
2019-05-07,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-05-08,Mold Medium with Alternaria
2019-05-09,"Pecan Low 13 gr/m3, Mold Medium with Alternaria."
2019-05-10,"Pecan Low 7 gr/m3, Mold Low. This allergy forecast was updated on Friday May 10, 2019."
2019-05-11,"Pecan Medium 73 gr/m3, Grass Medium 20 gr/m3, Mold Medium with Alternaria."
2019-05-12,Mold Low. Mold Low.
2019-05-13,"Pecan Low 13 gr/m3, Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-05-14,"Pecan Low 7 gr/m3, Grass High 33 gr/m3, Mold Medium with Alternaria."
2019-05-15,"Pecan Low 7 gr/m3, Grass High 33 gr/m3, Mold Medium with Alternaria."
2019-05-16,"Grass High 27 gr/m3, Mold Low"
2019-05-17,"Grass High 33 gr/m3, Mold Low"
2019-05-18,Mold Low.
2019-05-19,Mold Low.
2019-05-20,"Grass Medium 13 gr/m3, Mold Low."
2019-05-21,"Grass High 27 gr/m3, Mold Medium with Alternaria."
2019-05-22,"Grass High 40 gr/m3, Mold Low."
2019-05-23,"Grass Medium 20 gr/m3, Mold Low."
2019-05-24,"Grass Medium 13 gr/m3, Mold Medium"
2019-05-25,Mold Low.
2019-05-26,Mold Low.
2019-05-27,Mold Low.
2019-05-28,"Grass Low 7 gr/m3, Mold Low."
2019-05-29,"Grass Medium 13 gr/m3, Mold Low"
2019-05-30,"Grass Medium 20 gr/m3, Mold Low"
2019-05-31,Mold Medium with Alternaria.
2019-06-01,"Grass Medium 20 gr/m3, Mold Medium"
2019-06-02,Mold Medium with Alternaria.
2019-06-03,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-06-04,"Grass High 27 gr/m3, Mold Medium with Alternaria"
2019-06-05,"Grass Medium 20 gr/m3, Mold Medium with Alternaria."
2019-06-06,"Grass Low 7 gr/m3, Mold Medium"
2019-06-07,Mold Medium.
2019-06-08,Mold Medium.
2019-06-09,"Grass Medium 20 gr/m3, Mold Medium with Alternaria."
2019-06-10,
2019-06-11,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-06-12,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-06-13,"Grass High 27 gr/m3, Mold Medium with Alternaria"
2019-06-14,"Grass High 33 gr/m3, Mold Medium with Alternaria"
2019-06-15,"Grass High 27 gr/m3, Mold Medium with Alternaria"
2019-06-16,"Grass Low 7 gr/m3, Mold High with Alternaria"
2019-06-17,Mold Low.
2019-06-18,"Grass Low 7 gr/m3, Mold Low"
2019-06-19,"Grass Low 7 gr/m3, Mold Low"
2019-06-20,Mold Low.
2019-06-21,"Grass Medium 13 gr/m3, Mold Medium."
2019-06-22,"Grass 7 Low gr/m3, Mold High."
2019-06-23,Mold High.
2019-06-24,Mold High.
2019-06-25,
2019-06-26,
2019-06-27,Mold High.
2019-06-28,Mold High.
2019-06-29,Mold High.
2019-06-30,Mold High.
2019-07-01,Mold High.
2019-07-02,"Grass Low 7 gr/m3, Mold High with Alternaria"
2019-07-03,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-07-04,"Grass Low 7 gr/m3, Mold High with Alternaria"
2019-07-05,"Grass Medium 13 gr/m3, Mold High with Alternaria"
2019-07-06,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-07-07,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-07-08,"Grass Medium 14 gr/m3, Mold High with Alternaria"
2019-07-09,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-07-10,"Grass Low 7 gr/m3, Mold High with Alternaria"
2019-07-11,"Grass High 27 gr/m3, Mold Medium with Alternaria."
2019-07-12,"Grass Medium 13 gr/m3, Mold High with Alternaria"
2019-07-13,
2019-07-14,"Grass Medium 13 gr/m3, Mold High with Alternaria"
2019-07-15,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-07-16,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
2019-07-17,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-07-18,Mold Medium.
2019-07-19,Mold Medium.
2019-07-20,Mold High.
2019-07-21,Mold Medium.
2019-07-22,Mold Medium
2019-07-23,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
2019-07-24,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-07-25,"Grass Medium 20 gr/m3, Mold Medium with Alternaria"
2019-07-26,"Grass Low 7 gr/m3, Mold High."
2019-07-27,Mold Medium.
2019-07-28,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-07-29,"Grass Low 7 gr/m3, Mold High"
2019-07-30,No data
2019-07-31,No data
2019-08-01,Molds High with Alternaria
2019-08-02,Molds Medium with Alternaria
2019-08-03,"Grass Medium 20 gr/m3, Mold High."
2019-08-04,Mold High with Alternaria
2019-08-05,Mold High with Alternaria
2019-08-06,Mold High.
2019-08-07,Mold Medium with Alternaria
2019-08-08,Mold Medium with Alternaria
2019-08-09,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-08-10,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-08-11,Mold Medium with Alternaria
2019-08-12,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-08-13,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-08-14,"Grass Low 7 gr/m3, Mold Medium with Alternaria"
2019-08-15,Mold Medium.
2019-08-16,"Grass Low 7 gr/m3, Mold High"
2019-08-17,"Grass Medium 13 gr/m3, Mold High with Alternaria."
2019-08-18,Mold Medium with Alternaria.
2019-08-19,Mold Medium with Alternaria
2019-08-20,Mold Medium with Alternaria
2019-08-21,Mold Medium with Alternaria
2019-08-22,"Grass Low 7 gr/m3, Mold High with Alternaria"
2019-08-23,Mold High.
2019-08-24,Mold Medium with Alternaria.
2019-08-25,Mold Medium.
2019-08-26,Molds Medium with Alternaria
2019-08-27,Mold High with Alternaria
2019-08-28,Mold High with Alternaria.
2019-08-29,"Grass Medium 13 gr/m3, Mold Medium with Alternaria"
2019-08-30,"Grass Low 7 gr/m3, Mold Medium"
2019-08-31,Mold Medium with Alternaria.
2019-09-01,Mold Medium.
2019-09-02,Mold Medium.
2019-09-03,Molds High with Alternaria.
2019-09-04,Mold Medium
2019-09-05,"Elm Low 7 gr/m3, Grass Medium 20 gr/m3,Mold Medium with Alternaria"
2019-09-06,Mold Medium.
2019-09-07,Mold Medium.
2019-09-08,"Grass Medium 13 gr/m3,Mold Medium with Alternaria"
2019-09-09,"Ragweed medium 13 gr/m3, Mold Medium with alternaria"
2019-09-10,"Ragweed Low 7 gr/m3, Mold Medium"
2019-09-11,"Ragweed Low 7 gr/m3, Mold Medium"
2019-09-12,"Ragweed Medium 27 gr/m3, Mold Medium with Alternaria."
2019-09-13,"Ragweed Medium 20 gr/m3, Mold Medium with Alternaria."
2019-09-14,"Ragweed Medium 20 gr/m3, Mold Low."
2019-09-15,"Ragweed Medium 13 gr/m3, Molds High with Alternaria"
2019-09-16,"Ragweed High 53 gr/m3, Molds High with Alternaria"
2019-09-17,"Ragweed Low 7 gr/m3, Mold High with Alternaria"
2019-09-18,"Ragweed High 127 gr/m3, Mold High with Alternaria"
2019-09-19,"Ragweed High 106 gr/m3, Mold High with Alternaria"
2019-09-20,"Ragweed High 133 gr/m3, Mold High with Alternaria"
2019-09-21,"Ragweed High 60 gr/m3, Mold High with Alternaria"
2019-09-22,
2019-09-23,"Ragweed Medium 47 gr/m3, Mold High with Alternaria, Elm Low 13 gr/m3"
2019-09-24,"Ragweed High 133 gr/m3, Mold High with Alternaria, Elm Med 20 gr/m3"
2019-09-25,"Ragweed High 80 gr/m3, Mold High with Alternaria, Elm Med 20 gr/m3"
2019-09-26,"Ragweed High 107 gr/m3, Mold High with Alternaria, Elm Med 20 gr/m3"
2019-09-27,"Ragweed High 117 gr/m3, Mold High with Alternaria, Elm Med 27 gr/m3"
2019-09-28,"Ragweed High 66 gr/m3, Elm Medium 20 gr/m3, Mold High with Alternaria"
2019-09-29,"Ragweed High 60 gr/m3, Elm Low 13 gr/m3, Mold High with Alternaria"
2019-09-30,"Ragweed High 67 gr/m3, Elm Low 13 gr/m3, Mold High with Alternaria"
2019-10-01,"Ragweed High 54 gr/m3, Elm Low 13 gr/m3, Mold High with Alternaria"
2019-10-02,"Ragweed High 153 gr/m3, Elm Med 54 gr/m3, Mold High with Alternaria"
2019-10-03,"Ragweed High 200 gr/m3, Elm Med 27 gr/m3, Mold High with Alternaria"
2019-10-04,"Ragweed High 153 gr/m3, Elm Med 33 gr/m3, Mold High with Alternaria"
2019-10-05,"Ragweed High 127 gr/m3, Elm Med 40 gr/m3, Mold High with Alternaria."
2019-10-06,"Ragweed High 133 gr/m3, Elm Med 27 gr/m3, Mold High with Alternaria"
2019-10-07,"Ragweed High 147 gr/m3, Elm Med 40 gr/m3, Mold High with Alternaria."
2019-10-08,"Ragweed High 186 gr/m3, Elm Med 27 gr/m3, Mold High with Alternaria."
2019-10-09,"Ragweed High 206 gr/m3, Elm Med 33 gr/m3, Mold High with Alternaria."
2019-10-10,"Ragweed High 147 gr/m3, Elm Med 47 gr/m3, Mold High with Alternaria."
2019-10-11,"Ragweed High 100 gr/m3, Elm Med 33 gr/m3, Mold High with Alternaria."
2019-10-12,"Ragweed Medium 80 gr/m3, Elm Med 27 gr/m3, Mold High."
2019-10-13,
2019-10-14,
2019-10-15,
2019-10-16,
2019-10-17,
2019-10-18,
2019-10-19,
2019-10-20,
2019-10-21,
2019-10-22,
2019-10-23,
2019-10-24,
2019-10-25,
2019-10-26,
2019-10-27,
2019-10-28,
2019-10-29,
2019-10-30,
2019-10-31,
